date,nav_total,units_outstanding,nav_per_unit,sale_price,repurchase_price,collected_at
2024-12-17,12171403524,121263398.3,100.3716,100.3716,100.3716,2025-11-12T05:14:14.543Z
2024-12-18,14662894638,146048277.6,100.3976,100.3976,100.3976,2025-11-12T05:14:14.541Z
2024-12-19,12066725760,120151240.8,100.4295,100.4295,100.4295,2025-11-12T05:14:14.538Z
2024-12-20,12071669908,120161198.1,100.4623,100.4623,100.4623,2025-11-12T05:14:14.536Z
2024-12-23,12843844532,127731202.3,100.5537,100.5537,100.5537,2025-11-12T05:14:14.534Z
2024-12-24,12873163144,127983803.6,100.5843,100.5843,100.5843,2025-11-12T05:14:14.532Z
2024-12-27,13028958819,129415113.3,100.6757,100.6757,100.6757,2025-11-12T05:14:14.529Z
2024-12-30,13065688807,129663435.4,100.7662,100.7662,100.7662,2025-11-12T05:14:14.527Z
2024-12-31,13079699510,129764659.8,100.7955,100.7955,100.7955,2025-11-12T05:14:14.525Z
2025-01-02,13101512636,129903513.4,100.8557,100.8557,100.8557,2025-11-12T05:14:14.523Z
2025-01-03,13108518357,129934250.3,100.8858,100.8858,100.8858,2025-11-12T05:14:14.520Z
2025-01-06,13120332425,129935241.6,100.9759,100.9759,100.9759,2025-11-12T05:14:14.518Z
2025-01-07,13138925233,130078842.9,101.0074,101.0074,101.0074,2025-11-12T05:14:14.515Z
2025-01-08,13144654442,130095079.4,101.0388,101.0388,101.0388,2025-11-12T05:14:14.513Z
2025-01-09,13168894290,130294507.7,101.0702,101.0702,101.0702,2025-11-12T05:14:14.511Z
2025-01-10,13223089517,130790202.6,101.1015,101.1015,101.1015,2025-11-12T05:14:14.509Z
2025-01-13,13395373077,132372770.2,101.1943,101.1943,101.1943,2025-11-12T05:14:14.507Z
2025-01-14,13649404441,134842264.5,101.225,101.225,101.225,2025-11-12T05:14:14.506Z
2025-01-15,13676151927,135065529.5,101.2557,101.2557,101.2557,2025-11-12T05:14:14.504Z
2025-01-16,13832007315,136563717.1,101.2861,101.2861,101.2861,2025-11-12T05:14:14.502Z
2025-01-17,13885910849,137057368.2,101.3146,101.3146,101.3146,2025-11-12T05:14:14.500Z
2025-01-20,13901086728,137090927.1,101.4005,101.4005,101.4005,2025-11-12T05:14:14.498Z
2025-01-21,13805920754,136113802.6,101.4292,101.4292,101.4292,2025-11-12T05:14:14.496Z
2025-01-22,13829838258,136310984.3,101.458,101.458,101.458,2025-11-12T05:14:14.494Z
