fund_id,date,nav_total,units_outstanding,nav_per_unit,sale_price,repurchase_price,collected_at
itrust.icash,12/11/2025,34758019385,312844858.7,111.1031,111.1031,111.1031,2025-11-13T09:57:25.546Z
itrust.iDollar,12/11/2025,12486351.09,123113.0412,101.4218,101.4218,101.4218,2025-11-13T09:57:33.377Z
itrust.iGrowth,12/11/2025,90072261627,658464855.7,136.7913,136.7913,135.4234,2025-11-13T09:57:42.139Z
itrust.iIncome,12/11/2025,15343419778,136575960.1,112.3435,112.3435,111.2201,2025-11-13T09:57:57.150Z
itrust.Imaan,12/11/2025,15698321065,116025895.9,135.3001,135.3001,133.9471,2025-11-13T09:58:11.002Z
itrust.iSave,12/11/2025,9998548062,89305156.25,111.9594,111.9594,110.8398,2025-11-13T09:58:29.087Z
orbit.inuka,13/11/2025,30213761760,257619901,117.2707,117.2707,117.2707,2025-11-14T01:35:38.702Z
utt.bond,11/11/2025,1057072179091,8680523579,121.7752,121.7752,121.7752,2025-11-13T09:59:47.885Z
utt.jikimu,11/11/2025,43925000504,226881959,193.6029,193.6029,189.7308,2025-11-13T10:01:22.553Z
utt.liquid,11/11/2025,2183018920744,4525723593,482.358,482.358,482.358,2025-11-13T17:59:50.253Z
utt.umoja,11/11/2025,398509546577,333101432.4,1196.361,1196.361,1184.3973,2025-11-13T18:00:46.623Z
utt.watoto,11/11/2025,37810331629,46873378.52,806.6483,806.6483,798.5818,2025-11-13T18:01:46.615Z
utt.wekeza,11/11/2025,27987541633,25712186.72,1088.4932,1088.4932,1066.7234,2025-11-13T18:02:51.445Z
whi.faida,13/11/2025,48832869356,354988908.2,137.5617,137.5617,137.5617,2025-11-14T01:37:47.528Z
zansec.timiza,13/11/2025,23599672406,199709506.7,118.17,118.17,118.17,2025-11-14T01:37:52.500Z
